modelo;titulo_ml;seccion;colores;stock_real;stock_a_publicar;precio_desde;precio_hasta;revisar_precio;foto_url;lista_colores
SUZUKA;Lentes De Sol Orbital Suzuka Proteccion Uv400;Sport;7;294;280;89000;199000;SI;https://towcgvphxeqilpdnboki.supabase.co/storage/v1/object/public/catalogo/pc/suzuka.png;Azul Clear / Naranja | Bordo Clear / Ocre | Gris Clear / Celeste | Gris Clear / Gris Claro | Gris Clear / Incoloro Antirreflex | Negro Brillo / Gris Polarizado | Negro Mate / Gris Polarizado
BAREIN;Lentes De Sol Orbital Barein Proteccion Uv400;Sol;4;290;282;89000;199000;SI;https://towcgvphxeqilpdnboki.supabase.co/storage/v1/object/public/catalogo/paesani/barein.png;Gris Clear / Gris | Gris Mate / Gris Claro | Marron Mate / Celeste Flash | Negro Brillo / Gris Polarizado
PLUMA;Lentes De Sol Orbital Pluma Proteccion Uv400;Oftalmicos;5;263;253;199000;;NO;https://cdn.shopify.com/s/files/1/0721/2964/2797/files/FICHA_PROD_PLUMA-09.png;Clear Brillo/ Incoloro | Habano/ Habano Degrade | Hueso/ Incoloro | Marron/ Habano Degrade | Negro Mate/ Celeste Flash
VENICE;Lentes De Sol Orbital Venice Triple Proteccion;Triple proteccion;5;234;224;135000;199000;SI;https://towcgvphxeqilpdnboki.supabase.co/storage/v1/object/public/catalogo/paesani/venice.png;Amarillo Clear / Gris Degrade Flash | Bordo Mate / Rosa | Gris Clear / Gris Degrade Flash | Negro Brillo / Gris Polarizado | Verde Clear / Flash Deg Verde
ZETA 8;Lentes De Sol Orbital Zeta 8 Triple Proteccion;Sport;3;231;225;129000;;NO;https://towcgvphxeqilpdnboki.supabase.co/storage/v1/object/public/catalogo/paesani/zeta-8.png;Negro Mate / Espejo Rojo | Negro Mate/ Gris Polarizado | Rosa Clear / Rosa Flash
ABU DHABI;Lentes De Sol Orbital Abu Dhabi Proteccion Uv400;Sol;7;228;214;79000;199000;SI;https://towcgvphxeqilpdnboki.supabase.co/storage/v1/object/public/catalogo/pc/abu-dhabi.jpg;Bordo Clear / Habano | Clear / Espejo Plata | Naranja / Verde | Negro / Habano Polarizado | Negro Mate/ Gris Polaizado | Rojo Clear / Habano Flash | Verde Clear / Verde
ZETA 11;Lentes De Sol Orbital Zeta 11 Espejados Uv400;Sport;6;222;210;129000;;NO;https://towcgvphxeqilpdnboki.supabase.co/storage/v1/object/public/catalogo/paesani/zeta-11.png;Negro Brillo / Gris Polarizado | Negro Mate / Gris | Negro Mate/ Espejo Cel Polarizado | Negro Mate/ Espejo Rojo Pol | Rojo Mate / Espejo Rojo | Verde Claro/ Espejo Verde
ALASKA;Lentes De Sol Orbital Alaska Espejados Uv400;Ofertas;4;222;214;79000;199000;SI;https://towcgvphxeqilpdnboki.supabase.co/storage/v1/object/public/catalogo/pc/alaska.jpg;Negro Brillo/ Gris Degrade | Negro Mate / Espejo Plata | Negro Mate / Espejo Rosa | Negro Mate / Gris
ZETA 7;Lentes De Sol Orbital Zeta 7 Triple Proteccion;Sport;6;216;204;129000;;NO;https://towcgvphxeqilpdnboki.supabase.co/storage/v1/object/public/catalogo/paesani/zeta-7.png;Bordo Mate / Ocre Flash | Negro Brillo/ Gris Polarizado | Negro Mate / Gris | Negro Mate/ Espejo Rojo Pol | Negro Mate/ Gris Polarizado | Rosa Clear / Rosa Flash
CHARLOTTE;Lentes De Sol Orbital Charlotte Proteccion Uv400;Sol;4;203;195;135000;;NO;https://cdn.shopify.com/s/files/1/0721/2964/2797/files/charlotte-sunglasses-shiny-black-gray-front-000050A27900100.jpg;Carey Brillo / Celeste | Negro Brillo / Gris | Negro Brillo / Rosa | Negro Brillo / Verde
ENDOR;Lentes De Sol Orbital Endor Espejados Uv400;Sport;4;192;184;129000;;NO;https://towcgvphxeqilpdnboki.supabase.co/storage/v1/object/public/catalogo/paesani/endor.png;Negro Mate/ Espejo Celeste | Negro Mate/ Espejo Verde | Negro Mate/ Espejp Rojo | Negro Mate/ Gris Polarizado
LONDRES;Lentes De Sol Orbital Londres Proteccion Uv400;Sol;3;189;183;118000;;NO;https://cdn.shopify.com/s/files/1/0721/2964/2797/files/Londres_Ngb-HaD_Frontal-1-scaled_9be37ca5-b6f8-4345-92c5-ae3e970f4b14.jpg;Negro Brillo / Gris Polarizado | Negro Brillo/ Gris | Negro Mate / Gris
CIVIC CENTER;Lentes De Sol Orbital Civic Center Proteccion Uv400;Sol;6;189;177;184000;230000;SI;https://cdn.shopify.com/s/files/1/0721/2964/2797/files/Civic_Center-28.png;AzOscCl Celeste | Gr Cl Ce Flash | Ma Habano | Marfil Brill Habano | Marrón/ Incoloro AR | verde osc Verde
BASEL;Lentes De Sol Orbital Basel Proteccion Uv400;Ofertas;3;183;177;79000;;NO;https://towcgvphxeqilpdnboki.supabase.co/storage/v1/object/public/catalogo/pc/basel.jpg;Marron Brillo Claro / Gris | Negro Brillo / Gris | Negro Mate / Gris
EIVISSA;Lentes De Sol Orbital Eivissa Proteccion Uv400;Sol;4;179;171;169000;199000;SI;https://cdn.shopify.com/s/files/1/0721/2964/2797/files/eivissa-sunglasses-matt-black-flash-pink-front-00205097490009F.webp;Habano/ Espejo Dorado | Negro Brillo / Celeste Flash | Negro Brillo / Gris | Negro Brillo / Naranja
LENA;Lentes De Sol Orbital Lena Proteccion Uv400;Sol;3;178;172;89000;;NO;https://towcgvphxeqilpdnboki.supabase.co/storage/v1/object/public/catalogo/pc/lena.jpg;Negro Brillo / Habano | Negro Mate / Habano Degrade | Rosa Clear / Habano Degrade
CRYSTAL;Lentes De Sol Orbital Crystal Espejados Uv400;Sport;4;176;168;89000;129000;SI;https://towcgvphxeqilpdnboki.supabase.co/storage/v1/object/public/catalogo/paesani/crystal.png;Habano Clear Habano / Con Lentilla | Negro Mate / Espejo Violeta | Negro Mate/ Espejo Rojo | Negro Mate/ Negro Mate Polarizado
