modelo;titulo_ml;seccion;colores;stock_real;stock_a_publicar;precio_desde;precio_hasta;revisar_precio;foto_url;lista_colores
ZETA 1;Lentes De Sol Orbital Zeta 1 Triple Proteccion;Sport;3;88;82;129000;;NO;https://towcgvphxeqilpdnboki.supabase.co/storage/v1/object/public/catalogo/paesani/zeta-1.png;Bordo Mate / Ocre Flash | Negro Mate / Gris | Negro Mate / Gris Polarizado
BRERA;Lentes De Sol Orbital Brera Espejados Uv400;Sol;2;81;77;199000;;NO;https://cdn.shopify.com/s/files/1/0721/2964/2797/files/Brera_Ca-Ha_Frontal.jpg;Negro Brillo / Gris | Verde Vetas Violeta/ Espejo Rosa
ZETA 5;Lentes De Sol Orbital Zeta 5 Espejados Uv400;Sport;1;81;79;129000;;NO;https://towcgvphxeqilpdnboki.supabase.co/storage/v1/object/public/catalogo/pc/zeta-5.jpg;Negro Mate / Rosa Espejado
DUBAI;Lentes De Sol Orbital Dubai Proteccion Uv400;Ofertas;1;72;70;79000;;NO;https://towcgvphxeqilpdnboki.supabase.co/storage/v1/object/public/catalogo/pc/dubai.jpg;Negro Brillo / Gris
ZETA 3;Anteojos Orbital Zeta 3;SIN CLASIFICAR;1;69;67;129000;;NO;https://towcgvphxeqilpdnboki.supabase.co/storage/v1/object/public/catalogo/paesani/zeta-3.jpg;Negro Mate/ Gris Polarizado
HANNOVER;Lentes De Sol Orbital Hannover Proteccion Uv400;Ofertas;1;62;60;79000;;NO;https://towcgvphxeqilpdnboki.supabase.co/storage/v1/object/public/catalogo/pc/hannover.jpg;Verde Mate / Gris
CENTRAL PARK;Lentes De Sol Orbital Central Park Proteccion Uv400;Sol;3;62;56;199000;;NO;https://cdn.shopify.com/s/files/1/0721/2964/2797/files/central-park-sunglasses-shiny-black-gray-front-000050A26900100.jpg;Carey/ Habano | Negro Brillo / Gris | Negro Brillo / Gris Degrade
PALM BEACH;Lentes De Sol Orbital Palm Beach Proteccion Uv400;Ofertas;1;57;55;79000;;NO;https://towcgvphxeqilpdnboki.supabase.co/storage/v1/object/public/catalogo/pc/palm-beach.jpg;Negro Brillo / Gris
BRASILIA;Armazon Anteojos Receta Orbital Brasilia;Oftalmicos;2;56;52;89000;;NO;https://towcgvphxeqilpdnboki.supabase.co/storage/v1/object/public/catalogo/pc/brasilia.png;Negro Brillo / Con Lentilla | Rosa Clear / Con Lentilla
BAUHAUS;Lentes De Sol Orbital Bauhaus Triple Proteccion;Triple proteccion;3;55;49;79000;;NO;https://towcgvphxeqilpdnboki.supabase.co/storage/v1/object/public/catalogo/pc/bauhaus.jpg;Dorado / Habano Flash | Negro / Gris Flash | Negro Mate/ Naranja
WYNWOOD II;Lentes De Sol Orbital Wynwood Ii Proteccion Uv400;Sol;2;53;49;135500;;NO;https://cdn.shopify.com/s/files/1/0721/2964/2797/files/wynwood-sunglasses-shiny-black-green-front-002050A36900111.jpg;Negro Brillo / Rosa | Negro Brillo / Verde
NEW JERSEY;Armazon Anteojos Receta Orbital New Jersey;Ofertas;1;49;47;79000;;NO;https://towcgvphxeqilpdnboki.supabase.co/storage/v1/object/public/catalogo/pc/new-jersey.jpg;Celeste Clear / Con Lentilla
KOBE;Lentes De Sol Orbital Kobe Proteccion Uv400;Ofertas;1;45;43;79000;;NO;https://towcgvphxeqilpdnboki.supabase.co/storage/v1/object/public/catalogo/pc/kobe.jpg;Naranja Clear / Habano Degrade
NAPLES;Lentes De Sol Orbital Naples Proteccion Uv400;Ofertas;1;43;41;79000;;NO;https://towcgvphxeqilpdnboki.supabase.co/storage/v1/object/public/catalogo/pc/naples.jpg;Bordo Mate / Bordo
FRANCE;Lentes De Sol Orbital France Proteccion Uv400;Ofertas;1;41;39;79000;;NO;https://towcgvphxeqilpdnboki.supabase.co/storage/v1/object/public/catalogo/paesani/france.png;Rojo Clear / Rojo Brillo
MOMA;Lentes De Sol Orbital Moma Proteccion Uv400;Ofertas;2;37;33;89000;199000;SI;https://towcgvphxeqilpdnboki.supabase.co/storage/v1/object/public/catalogo/pc/moma.jpg;Negro Brillo Niquel/ Gris Claro | Negro Mate/ Naranja
OAKLAND;Armazon Anteojos Receta Orbital Oakland;Ofertas;2;35;31;79000;;NO;https://towcgvphxeqilpdnboki.supabase.co/storage/v1/object/public/catalogo/pc/oakland.webp;Negro Mate / Con Lentilla | Rojo Clear / Con Lentilla
ZETA 1 PRO;Lentes De Sol Orbital Zeta 1 Pro Espejados Uv400;Sport;2;33;29;129000;;NO;https://towcgvphxeqilpdnboki.supabase.co/storage/v1/object/public/catalogo/pc/zeta-1-pro.jpg;Azul Mate / Habano | Negro Mate / Espejo Naranja
MICRA;Anteojos Orbital Micra;SIN CLASIFICAR;1;32;30;199000;;NO;https://towcgvphxeqilpdnboki.supabase.co/storage/v1/object/public/catalogo/pc/micra.png;Negro Mate Gris Degrade
BRISSA;Armazon Anteojos Receta Orbital Brissa;Oftalmicos;2;31;27;199000;;NO;https://cdn.shopify.com/s/files/1/0721/2964/2797/files/Brissa_Clear-Ni-Neutro_Frontal-scaled_6a532b59-c739-4e91-9342-1564182aa25a.jpg;Clear Brillo/ Incoloro | Hueso Mate/ Incoloro
WILLIAMSBURG;Lentes De Sol Orbital Williamsburg Proteccion Uv400;Ofertas;1;29;27;79000;;NO;https://towcgvphxeqilpdnboki.supabase.co/storage/v1/object/public/catalogo/pc/williamsburg.jpg;Negro Brillo / Gris
EMMEN;Lentes De Sol Orbital Emmen Proteccion Uv400;Ofertas;1;28;26;199000;;NO;https://cdn.shopify.com/s/files/1/0721/2964/2797/files/Emmen-CARA-rs_1dfc7ab7-8f2c-4234-96bb-6abf11b02760.webp;Silver / Orange
ELYSEE;Lentes De Sol Orbital Elysee Proteccion Uv400;Ofertas;2;27;23;79000;;NO;https://towcgvphxeqilpdnboki.supabase.co/storage/v1/object/public/catalogo/pc/elysee.png;Gris Claro / Celeste | Habano Mate / Habano Degrade
TAURUS;Lentes De Sol Orbital Taurus Proteccion Uv400;Ofertas;2;27;23;199000;;NO;https://towcgvphxeqilpdnboki.supabase.co/storage/v1/object/public/catalogo/pc/taurus.jpg;Gris-Naranja/ Habano | Verde-Negro/ Ocre
ZZR;Lentes De Sol Orbital Zzr Polarizados Uv400;Sport;1;21;19;129000;;NO;https://towcgvphxeqilpdnboki.supabase.co/storage/v1/object/public/catalogo/paesani/zzr.png;Negro Mate/ Gris Polarizado
LEIDEN;Lentes De Sol Orbital Leiden Proteccion Uv400;Ofertas;1;16;14;89000;;NO;https://cdn.shopify.com/s/files/1/0721/2964/2797/files/Leiden7_3117d962-58f1-4f11-97c7-6188bb5e6b3d.webp;Blanco / Gris
PASSY;Lentes De Sol Orbital Passy Triple Proteccion;Triple proteccion;1;14;12;79000;;NO;https://towcgvphxeqilpdnboki.supabase.co/storage/v1/object/public/catalogo/pc/passy.png;Azul/ Celeste Flash
TEMPLE;Lentes De Sol Orbital Temple Triple Proteccion;Triple proteccion;1;11;9;79000;;NO;https://towcgvphxeqilpdnboki.supabase.co/storage/v1/object/public/catalogo/pc/temple.png;Verde / Verde Degrade Flash
